timestamp,event,symbol,score,price,qty,reason,open_pl,rotation_score,rotation_decision,notes
2026-05-05T15:25:03.395937,LEARNING_SHADOW_SKIP_BUY,U,69.5,,,skip buy,,,,
2026-05-05T15:30:41.056587,SHADOW_SELL_V2_SIGNAL,AAPL,66.19,,1.0,Research signal: no exit pressure.,10.9,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=4.047 | entry=269.32 | current=280.22
2026-05-05T15:30:41.056718,SHADOW_SELL_V2_SIGNAL,AMZN,77.97,,61.954933291,Research signal: position is working.,1117.384296,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=6.993 | entry=257.904563 | current=275.94
2026-05-05T15:30:41.056804,SHADOW_CAPITAL_EFFICIENCY,U,69.5,,,Research signal: candidate edge is not large enough.,10.9,3.31,research_no_clear_edge,shadow_only=true | version=v2.2 | weakest=AAPL | weakest_score=66.19 | best_candidate=U
2026-05-05T15:30:41.056841,SHADOW_SMALL_CAP_BUY_DECISION,U,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=31.0 | news=5.0
2026-05-05T15:30:41.056872,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=5.0
2026-05-05T15:30:41.056902,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
2026-05-05T15:30:41.057252,LEARNING_SHADOW_SKIP_BUY,U,69.5,,,skip buy,,,,
2026-05-05T15:36:19.195011,SHADOW_SELL_V2_SIGNAL,AAPL,66.1,,1.0,Research signal: no exit pressure.,10.84,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=4.025 | entry=269.32 | current=280.16
2026-05-05T15:36:19.195140,SHADOW_SELL_V2_SIGNAL,AMZN,78.3,,61.954933291,Research signal: position is working.,1130.394832,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=7.074 | entry=257.904563 | current=276.15
